COMBINED TABLES 1 AND 2 FROM STELZER (2013) APPENDIX.
ALL FLUX VALUES ARE IN ERG/CM2/S!

NAME	 Gl/GJ	 d [pc]	 d_unc [pc]	 SpT	 T_eff [K]	 log f_bol,E 	 v sin(i) [km/s]	 log f_NUV	 log f_NUV_bound	 log f_FUV	 log_f_FUV_bound	 log f_X	 log f_X_bound
PM I07582+4118	 GJ 1105	 8.61	 0.28	 M3.5	 3241.0	 −8.78	 < 2.00 	 −13.42	 [−13.35, −13.49]	 −13.05	 [−12.89,−13.21]	 −13.00	 N/A
PM I08119+0846	 Gl 299	 6.84	 1.71	 M4.5	 3089.0	 −8.84	 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.96	 N/A
PM I08126-2133	 Gl 300	 7.96	 0.06	 M4.0	 3165.0	 −8.85	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −13.45	 [−13.36, −13.55]
PM I08161+0118	 GJ 2066	 9.12	 0.13	 M2.0	 3500.0	 −8.18	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.87	 N/A
PM I08298+2646	 GJ 1111	 3.63	 0.91	 M6.5	 2784.0	 −8.72	 11.0 	 N/A	 N/A	 N/A	 N/A	 −12.97	 N/A
PM I08413+5929	 GJ 3512	 9.83	 0.36	 M5.5	 2936.0	 −9.39	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.04	 N/A
PM I08582+1945N	 GJ 1116 AB	 5.23	 1.31	 M5.5	 2936.0	 −8.84	 ... 	 −13.01	 [−12.95, −13.07]	 −12.77	 [−12.62,−12.92]	 −12.07	 N/A
PM I08589+0828	 GJ 3522	 6.77	 0.09	 M3.5	 3241.0	 −8.57	 ... 	 −12.08	 [−12.05, −12.11]	 −11.84	 [−11.79,−11.89]	 −11.12	 [−11.09, −11.16]
PM I09170-7749	 GJ 1123	 9.02	 0.17	 M4.5	 3089.0	 −9.08	 ... 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I09307+0019	 GJ 1125	 9.66	 0.38	 M3.5	 3241.0	 −8.88	 < 2.50 	 −13.67	 [−13.56, −13.78]	 −13.96	 [−13.77,−14.15]	 −12.98	 N/A
PM I09360-2139	 Gl 357	 9.03	 0.16	 M2.5	 3425.0	 −8.39	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.09	 N/A
PM I09397-4104	 Gl 358	 9.47	 0.15	 M2.0	 3500.0	 −8.22	 < 3.00 	 N/A	 N/A	 −12.81	 [−12.60, −13.02]	 −12.06	 [−12.01, −12.13]
PM I09444-4546	 Gl 367	 9.87	 0.32	 M1.0	 3650.0	 −7.94	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −13.09	 N/A
PM I09539+2056	 GJ 3571	 9.23	 0.2	 M4.5	 3089.0	 −9.10	 16.5 	 −13.49	 [−13.41, −13.57]	 −13.67	 N/A	 −12.94	 [−12.77, −13.19]
PM I10122-0344	 Gl 382	 7.87	 0.12	 M1.5	 3575.0	 −7.89	 1.80 	 −12.49	 [−12.47, −12.52]	 −12.79	 [−12.69, −12.89]	 −12.49	 [−12.41, −12.61]
PM I10196+1952	 Gl 388	 4.89	 0.07	 M3.0	 3318.0	 −8.12	 3.00 	 N/A	 N/A	 N/A	 N/A	 −10.96	 [−10.96, −10.96]
PM I10289+0050	 Gl 393	 7.07	 0.11	 M2.0	 3500.0	 −7.96	 1.50 	 −12.85	 [−12.80, −12.90]	 −13.06	 [−12.83, −13.29]	 −12.90	 [−12.75, −13.14]
PM I10482-1120	 GJ 3622	 4.54	 1.14	 M6.5	 2784.0	 −8.91	 ... 	 −14.07	 [−13.84, −14.30]	 −13.67	 N/A	 −12.97	 N/A
PM I10497+3532	 GJ 1138	 9.39	 0.69	 M4.5	 3089.0	 −9.12	 < 4.00 	 N/A	 N/A	 N/A	 N/A	 −13.01	 N/A
PM I10508+0648	 Gl 402	 6.76	 0.16	 M4.0	 3165.0	 −8.71	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.95	 N/A
PM I11000+2249	 Gl 408	 6.66	 0.08	 M2.5	 3425.0	 −8.13	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.66	 N/A
PM I11033+3558	 Gl 411	 2.55	 0.0	 M2.0	 3500.0	 −7.08	 < 2.50 	 −12.16	 [−12.13, −12.18]	 −12.55	 [−12.45, −12.65]	 −11.98	 [−11.97,−11.99]
PM I11054+4331	 Gl 412 A	 4.85	 0.02	 M0.5	 3725.0	 −7.23	 < 2.50 	 −12.71	 [−12.69, −12.74]	 −13.52	 N/A	 −12.04	 [−11.98,−12.11]
PM I11200+6550	 Gl 424	 8.92	 0.08	 M0.0	 3800.0	 −7.67	 < 2.50 	 −12.71	 [−12.67, −12.75]	 −13.18	 N/A	 −13.05	 [−12.90,−13.26]
PM I11354-3232	 Gl 433	 8.88	 0.11	 M1.5	 3575.0	 −8.00	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.02	 N/A
PM I11476+7841	 Gl 445	 5.35	 0.05	 M3.5	 3241.0	 −8.37	 < 2.50 	 −13.75	 [−13.64, −13.86]	 −13.68	 N/A	 −12.98	 [−12.90,−13.08]
PM I11477+0048	 Gl 447	 3.36	 0.03	 M4.0	 3165.0	 −8.10	 < 2.50 	 −13.82	 [−13.70, −13.94]	 −13.74	 [−13.57, −13.92]	 −12.41	 [−12.32,−12.51]
PM I11509+4822	 GJ 1151	 8.7	 0.4	 M4.5	 3089.0	 −9.05	 < 4.09 	 −13.81	 [−13.68, −13.93]	 −13.67	 N/A	 −12.96	 N/A
PM I11511+3516	 Gl 450	 8.58	 0.09	 M1.0	 3650.0	 −7.82	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.47	 [−12.38,−12.58]
PM I12142+0037	 GJ 1154	 8.38	 2.1	 M5.0	 3013.0	 −9.13	 5.19 	 N/A	 N/A	 N/A	 N/A	 −12.31	 [−12.23,−12.42]
PM I12189+1107	 GJ 1156	 6.54	 1.64	 M5.0	 3013.0	 −8.92	 9.19 	 −13.25	 [−13.18, −13.32]	 −12.74	 [−12.61, −12.87]	 −12.19	 [−12.13,−12.27]
PM I12248-1814	 Gl 465	 8.85	 0.2	 M2.0	 3500.0	 −8.16	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.93	 N/A
PM I12332+0901	 Gl 473 AB	 4.39	 1.1	 M5.0	 3013.0	 −8.57	 ... 	 −12.61	 [−12.58, −12.65]	 −12.32	 [−12.25, −12.39]	 −11.84	 [−11.82,−11.86]
PM I12378-5200	 Gl 479	 9.69	 0.22	 M2.0	 3500.0	 −8.24	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.19	 [−12.12,−12.27]
PM I12388-3822	 GJ 3737	 6.38	 0.08	 M4.5	 3089.0	 −8.78	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.89	 N/A
PM I12407-4333	 Gl 480.1	 7.78	 0.24	 M3.0	 3318.0	 −8.53	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.91	 N/A
PM I12479+0945	 Gl 486	 8.37	 0.19	 M3.5	 3241.0	 −8.76	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I13005+0541	 Gl 493.1	 8.12	 2.03	 M4.5	 3089.0	 −8.99	 16.7 	 −12.64	 [−12.61, −12.66]	 −12.09	 [−12.01, −12.17]	 −12.16	 [−12.09,−12.25]
PM I13299+1022	 Gl 514	 7.66	 0.06	 M0.5	 3725.0	 −7.63	 1.50 	 −12.57	 [−12.54, −12.60]	 −13.30	 N/A	 −12.54	 [−12.44,−12.69]
PM I13427+3317	 GJ 3801	 9.28	 0.28	 M3.5	 3241.0	 −8.85	 < 4.00 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I14342-1231	 Gl 555	 6.06	 0.12	 M4.0	 3165.0	 −8.61	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.87	 N/A
PM I14495-2606E	 N/A	 4.03	 0.89	 M1.0	 3650.0	 −7.17	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.93	 N/A
PM I14544+1606	 Gl 569 AB	 9.65	 0.16	 M2.0	 3500.0	 −8.23	 < 2.50 	 −12.33	 [−12.30, −12.36]	 −12.28	 [−12.18, −12.37]	 −11.62	 [−11.58, −11.65]
PM I14574-2124W	 Gl 570 B	 5.92	 0.86	 M1.0	 3650.0	 −7.50	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.90	 N/A
PM I15194-0743E	 Gl 581	 6.22	 0.1	 M3.0	 3318.0	 −8.33	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.00	 N/A
PM I15322-4116	 Gl 588	 5.93	 0.05	 M2.5	 3425.0	 −8.03	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.71	 [−12.59, −12.87]
PM I16028+2035	 Gl 609	 9.97	 2.5	 M4.0	 3165.0	 −9.05	 < 3.00 	 −14.09	 [−13.89, −14.29]	 −13.26	 N/A	 −13.27	 N/A
PM I16200-3731E	 Gl 618 A	 8.34	 0.18	 M2.0	 3500.0	 −8.11	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −12.84	 [−12.70, −13.06]
PM I16241+4821	 Gl 623	 8.06	 0.08	 M2.5	 3425.0	 −8.30	 < 2.90 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I16254+5418	 Gl 625	 6.51	 0.04	 M1.5	 3575.0	 −7.73	 < 2.50 	 −13.25	 [−13.21, −13.29]	 −13.66	 N/A	 −12.93	 [−12.89, −12.97]
PM I16303-1239	 Gl 628	 4.29	 0.03	 M3.5	 3241.0	 −8.18	 1.50 	 N/A	 N/A	 N/A	 N/A	 −12.63	 [−12.54, −12.75]
PM I16313+4051	 GJ 3959	 6.41	 1.6	 M5.0	 3013.0	 −8.90	 ... 	 −13.40	 [−13.34, −13.47]	 −13.06	 [−13.03, −13.10]	 −13.27	 N/A
PM I16554-0819	 Gl 643	 6.72	 0.19	 M3.5	 3241.0	 −8.56	 < 2.70 	 N/A	 N/A	 N/A	 N/A	 −13.02	 N/A
PM I16554-0820	 Gl 644 A	 6.2	 0.22	 M3.0	 3318.0	 −8.33	 ... 	 N/A	 N/A	 N/A	 N/A	 −10.80	 [−10.80, −10.81]
PM I16555-0823	 Gl 644 C	 6.44	 0.05	 M7.0	 2708.0	 −9.30	 9.00 	 N/A	 N/A	 N/A	 N/A	 −12.33	 [−12.32, −12.35]
PM I16570-0420	 GJ 1207	 8.67	 0.11	 M3.5	 3241.0	 −8.79	 10.7 	 −12.87	 [−12.82, −12.91]	 −12.60	 [−12.48, −12.72]	 −11.79	 [−11.78, −11.80]
PM I17033+5124	 GJ 3988	 9.49	 2.37	 M4.5	 3089.0	 −9.12	 ... 	 −14.08	 [−13.83, −14.33]	 −13.51	 N/A	 −13.27	 N/A
PM I17095+4340	 GJ 3991	 7.45	 0.11	 M3.5	 3241.0	 −8.65	 < 4.00 	 −13.06	 [−13.00, −13.11]	 −13.17	 [−12.94, −13.39]	 −13.27	 N/A
PM I17121+4539	 Gl 661 A	 5.98	 0.18	 M3.5	 3241.0	 −8.46	 < 4.00 	 N/A	 N/A	 N/A	 N/A	 −12.54	 [−12.48, −12.62]
PM I17286-4653	 Gl 674	 4.54	 0.03	 M2.5	 3425.0	 −7.80	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −11.88	 [−11.82, −11.95]
PM I17303+0532	 Gl 678.1 A	 9.98	 0.11	 M0.0	 3800.0	 −7.77	 < 2.50 	 −12.66	 [−12.63, −12.68]	 −12.88	 [−12.70, −13.07]	 −13.08	 N/A
