PM I17303+0532 	Gl 678.1 A 	9.98	 ±	 0.11  	M0.0  	3800 	−7.77 	< 2.50 
PM I17352-4840 	Gl 680 	9.73	 ±	 0.26  	M1.5  	3575 	−8.07 	< 3.00 
PM I17364+6820 	Gl 687 	4.53	 ±	 0.02  	M3.0  	3318 	−8.06 	< 2.50 
PM I17370-4419 	Gl 682 	5.08	 ±	 0.06  	M3.5  	3241 	−8.32 	< 3.00 
PM I17378+1835 	Gl 686 	8.08	 ±	 0.11  	M1.0  	3650 	−7.77 	< 2.50 
PM I17439+4322 	Gl 694 	9.48	 ±	 0.11  	M2.5  	3425 	−8.44 	< 2.50 
PM I17464+2743W 	Gl 695 BC 	8.40	 ±	 2.10  	M3.5  	3241 	−8.76 	... 
PM I17465-5719 	Gl 693 	5.83	 ±	 0.08  	M2.0  	3500 	−7.80 	... 
PM I17578+0441N 		1.82	 ±	 0.01  	M4.0  	3165 	−7.57 	... 
PM I18051-0301 	Gl 701 	7.76	 ±	 0.09  	M1.0  	3650 	−7.73 	< 2.50 
PM I18075-1557 	GJ 1224 	7.54	 ±	 1.88  	M4.5  	3089 	−8.93 	< 3.00 
PM I18189+6611 	GJ 4053 	7.27	 ±	 1.82  	M4.5  	3089 	−8.89 	14.6 
PM I18224+6203 	GJ 1227 	8.23	 ±	 2.06  	M4.5  	3089 	−9.00 	< 2.30 
PM I18411+2447S 	GJ 1230 A 	8.27	 ±	 0.52  	M4.5  	3089 	−9.01 	... 
PM I18427+5937N 	Gl 725 A 	3.57	 ±	 0.03  	M3.0  	3318 	−7.85 	< 2.50 
PM I18427+5937S 	Gl 725 B 	3.45	 ±	 0.04  	M3.5  	3241 	−7.99 	< 2.50 
PM I18498-2350 	Gl 729 	2.97	 ±	 0.02  	M3.5  	3241 	−7.86 	4.00 
PM I19070+2053 	Gl 745 A 	8.52	 ±	 0.17  	M1.5  	3575 	−7.96 	< 2.50 
PM I19072+2052 	Gl 745 B 	8.76	 ±	 0.18  	M2.0  	3500 	−8.15 	< 2.50 
PM I19077+3232 	Gl 747 AB 	8.18	 ±	 2.05  	M3.0  	3318 	−8.57 	... 
PM I19169+0510 	Gl 752 A 	5.87	 ±	 0.03  	M2.5  	3425 	−8.02 	< 2.50 
PM I19216+2052 	GJ 1235 	9.99	 ±	 2.49  	M4.5  	3089 	−9.17 	... 
PM I19539+4424E 	GJ 1245 B 	4.54	 ±	 1.13  	M5.5  	2936 	−8.71 	... 
PM I19539+4424W 	GJ 1245 AC	4.54	 ±	 0.03  	M5.5  	2936 	−8.71 	... 
PM I20260+5834 	GJ 1253 	9.30	 ±	 2.33  	M5.0  	3013 	−9.22 	... 
PM I20298+0941 	Gl 791.2 	8.79	 ±	 2.20  	M4.5  	3089 	−9.06 	32.0 
PM I20305+6526 	Gl 793 	7.99	 ±	 0.07  	M2.5  	3425 	−8.29 	< 2.50 
PM I20405+1529 	GJ 1256 	9.80	 ±	 2.45  	M4.5  	3089 	−9.15 	... 
PM I20451-3120 	Gl 803 	9.91	 ±	 0.11  	M0.0  	3800 	−7.76 	... 
PM I20525-1658 		5.71	 ±	 0.11  	M3.0  	3318 	−8.26 	... 
