PM I14574-2124W 						< 	−12.90 	
PM I15194-0743E 						< 	−13.00 	
PM I15322-4116 							−12.71 	[−12.59, −12.87] 
PM I16028+2035 	−14.09 	[−13.89, −14.29] 	< 	−13.26 		< 	−13.27 	
PM I16200-3731E 							−12.84 	[−12.70, −13.06] 
PM I16241+4821 						< 	−13.27 	
PM I16254+5418 	−13.25 	[−13.21, −13.29] 	< 	−13.66 			−12.93 	[−12.89, −12.97] 
PM I16303-1239 							−12.63 	[−12.54, −12.75] 
PM I16313+4051 	−13.40 	[−13.34, −13.47] 		−13.06 	[−13.03, −13.10] 	< 	−13.27 	
PM I16554-0819 						< 	−13.02 	
PM I16554-0820 							−10.80 	[−10.80, −10.81] 
PM I16555-0823 							−12.33 	[−12.32, −12.35] 
PM I16570-0420 	−12.87 	[−12.82, −12.91] 		−12.60 	[−12.48, −12.72] 		−11.79 	[−11.78, −11.80] 
PM I17033+5124 	−14.08 	[−13.83, −14.33] 	< 	−13.51 		< 	−13.27 	
PM I17095+4340 	−13.06 	[−13.00, −13.11] 		−13.17 	[−12.94, −13.39] 	< 	−13.27 	
PM I17121+4539 							−12.54 	[−12.48, −12.62] 
PM I17286-4653 							−11.88 	[−11.82, −11.95] 
PM I17303+0532 	−12.66 	[−12.63, −12.68] 		−12.88 	[−12.70, −13.07] 	< 	−13.08 	
PM I17352-4840 						< 	−12.80 	
PM I17364+6820 							−12.67 	[−12.61, −12.74] 
PM I17370-4419 							−13.41 	[−13.28, −13.59] 
PM I17378+1835 						< 	−13.24 	
PM I17439+4322 	−13.28 	[−13.21, −13.35] 	 <  	−13.44 			−12.93 	[−12.83, −13.07] 
PM I17464+2743W 							−12.01 	[−11.97, −12.06] 
PM I17465-5719 						< 	−12.76 	
PM I17578+0441N 							−12.94 	[−12.89, −12.99] 
PM I18051-0301 							−12.82 	[−12.67, −13.05] 
PM I18075-1557 							−11.98 	[−11.93, −12.05] 
PM I18189+6611 							−12.56 	[−12.53, −12.58] 
PM I18224+6203 						< 	−13.27 	
PM I18411+2447S 	−12.76 	[−12.72, −12.80] 		−12.40 	[−12.29, −12.50] 		−12.05 	[−12.00, −12.11] 
PM I18427+5937N 	−12.71 	[−12.67, −12.74] 		−12.76 	[−12.62, −12.89] 		−12.51 	[−12.47, −12.55] 
PM I18427+5937S 	−13.23 	[−13.17, −13.29] 	< 	−13.48 			−12.51 	[−12.47, −12.55] 
PM I18498-2350 	−12.36 	[−12.34, −12.39] 		−12.18 	[−12.12, −12.24] 		−11.33 	[−11.30, −11.37] 
PM I19070+2053 	−13.78 	[−13.58, −13.98] 	< 	−13.55 		< 	−13.26 	
PM I19072+2052 	−13.58 	[−13.45, −13.72] 	< 	−13.55 		< 	−13.26 	
PM I19077+3232 							−12.91 	[−12.80, −13.07] 
PM I19169+0510 							−12.91 	[−12.87, −12.94] 
PM I19216+2052 						< 	−13.25 	
PM I19539+4424E 							−12.01 	[−11.97, −12.05] 
PM I19539+4424W 							−12.01 	[−11.97, −12.05] 
PM I20260+5834 						< 	−13.27 	
PM I20298+0941 	−13.10 	[−13.05, −13.16] 		−12.75 	[−12.63, −12.88] 		−12.16 	[−12.10, −12.23] 
PM I20305+6526 							−12.19 	[−12.16, −12.24] 
PM I20405+1529 						< 	−13.07 	
